starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	14
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	11
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	18
Mon Jul 21 21:20:54 2025	1753129254	1	17	18	13
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	17
Mon Jul 21 21:20:54 2025	1753129254	1	18	18	17
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	17
Mon Jul 21 21:20:56 2025	1753129256	0	18	18	16
Mon Jul 21 21:20:55 2025	1753129255	1	17	18	15
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	17
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	15
Mon Jul 21 21:20:55 2025	1753129255	1	18	18	17
Mon Jul 21 21:20:55 2025	1753129255	0	18	18	18
Mon Jul 21 21:20:56 2025	1753129256	0	18	19	16
Mon Jul 21 21:20:56 2025	1753129256	2	16	19	14
Mon Jul 21 21:20:55 2025	1753129255	0	18	19	18
Mon Jul 21 21:20:56 2025	1753129256	0	18	19	18
Mon Jul 21 21:20:55 2025	1753129255	3	15	19	13
Mon Jul 21 21:20:54 2025	1753129254	1	18	19	10
Mon Jul 21 21:20:54 2025	1753129254	1	18	19	17
Mon Jul 21 21:20:56 2025	1753129256	0	19	19	18
Mon Jul 21 21:20:54 2025	1753129254	1	18	19	18
Mon Jul 21 21:20:56 2025	1753129256	0	18	19	15
Mon Jul 21 21:20:55 2025	1753129255	0	19	19	16
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	18
Mon Jul 21 21:20:55 2025	1753129255	0	19	19	18
Mon Jul 21 21:20:56 2025	1753129256	1	18	19	15
Mon Jul 21 21:20:55 2025	1753129255	0	18	19	16
Mon Jul 21 21:20:56 2025	1753129256	0	19	19	17
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	16
Mon Jul 21 21:20:56 2025	1753129256	0	19	19	16
Mon Jul 21 21:20:55 2025	1753129255	1	18	19	15
Mon Jul 21 21:20:54 2025	1753129254	1	18	19	17
Mon Jul 21 21:20:54 2025	1753129254	0	19	19	18
Mon Jul 21 21:20:56 2025	1753129256	0	19	19	10
