starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:21 2025	1753128321	13	245	258	238
Mon Jul 21 21:05:21 2025	1753128321	12	245	258	232
Mon Jul 21 21:05:22 2025	1753128322	0	258	258	240
Mon Jul 21 21:05:21 2025	1753128321	12	245	258	232
Mon Jul 21 21:05:21 2025	1753128321	12	245	258	243
Mon Jul 21 21:05:21 2025	1753128321	12	246	258	237
Mon Jul 21 21:05:21 2025	1753128321	12	246	258	240
Mon Jul 21 21:05:21 2025	1753128321	12	246	259	244
Mon Jul 21 21:05:21 2025	1753128321	12	246	259	244
Mon Jul 21 21:05:21 2025	1753128321	12	247	259	239
Mon Jul 21 21:05:21 2025	1753128321	12	247	260	238
Mon Jul 21 21:05:21 2025	1753128321	12	247	260	234
Mon Jul 21 21:05:21 2025	1753128321	12	248	260	245
Mon Jul 21 21:05:22 2025	1753128322	0	260	260	250
Mon Jul 21 21:05:21 2025	1753128321	13	248	260	236
Mon Jul 21 21:05:21 2025	1753128321	13	249	261	238
Mon Jul 21 21:05:21 2025	1753128321	12	250	261	245
Mon Jul 21 21:05:21 2025	1753128321	12	249	262	239
Mon Jul 21 21:05:21 2025	1753128321	12	250	262	250
Mon Jul 21 21:05:21 2025	1753128321	12	251	263	249
Mon Jul 21 21:05:21 2025	1753128321	14	250	264	248
Mon Jul 21 21:05:21 2025	1753128321	12	252	264	248
Mon Jul 21 21:05:21 2025	1753128321	12	252	264	248
Mon Jul 21 21:05:21 2025	1753128321	18	249	267	243
Mon Jul 21 21:05:21 2025	1753128321	19	249	268	237
Mon Jul 21 21:05:21 2025	1753128321	13	255	268	243
Mon Jul 21 21:05:21 2025	1753128321	18	250	269	248
Mon Jul 21 21:05:22 2025	1753128322	152	118	270	116
Mon Jul 21 21:05:21 2025	1753128321	18	252	271	107
Mon Jul 21 21:05:22 2025	1753128322	0	272	272	271
Mon Jul 21 21:05:21 2025	1753128321	11	262	273	259
Mon Jul 21 21:05:22 2025	1753128322	62	211	273	197
Mon Jul 21 21:05:21 2025	1753128321	19	254	273	122
Mon Jul 21 21:05:21 2025	1753128321	11	262	273	259
Mon Jul 21 21:05:21 2025	1753128321	18	256	273	252
Mon Jul 21 21:05:22 2025	1753128322	31	243	274	243
Mon Jul 21 21:05:22 2025	1753128322	216	58	274	58
